"Pod"	"CPU Ø (m)"	"CPU P95 (m)"	"CPU Max (m)"	"Mem Ø (MiB)"	"Mem P95 (MiB)"	"Mem Max (MiB)"	"Disk Read Ø (MiB/s)"	"Disk Write Ø (MiB/s)"	"Disk Write Max (MiB/s)"	"Net RX Ø (MiB/s)"	"Net TX Ø (MiB/s)"	"Net TX Max (MiB/s)"
loki-canary-dzb69	1.44	1.49	1.51	12.8	13.1	13.4	0	0	0	0.00249	0.00256	0.00264
loki-canary-n7cg9	1.52	1.57	1.58	12.9	13.1	13.2	0	0	0	0.00246	0.00257	0.00267
loki-chunks-cache-0	2.77	2.91	2.92	41.1	41.3	41.4	0	0	0	0.000683	0.107	0.171
loki-canary-wvhgm	1.58	1.61	1.62	12.8	13.1	13.2	0	0	0	0.00245	0.00258	0.00269
prometheus-prometheus-pushgateway-849f5c884c-h2hlt	0.119	0.128	0.130	6.88	6.88	6.88	0	0	0	0.0000908	0.0000873	0.0000897
grafana-586f5d7949-5mstz	3.63	3.98	4.06	83.8	83.8	84.0	0	0.000670	0.000755	0.000103	0.000140	0.000155
alloy-qq9ts	5.29	5.53	5.78	88.5	90.2	92.4	0	0.00275	0.00357	0.00257	0.00143	0.00160
loki-gateway-655d5c6cd9-whjvm	3.55	3.60	3.62	12.6	12.7	12.8	0	0	0	0.0141	0.0142	0.0147
alloy-2ct9f	5.34	5.57	5.76	58.9	61.3	62.8	0	0.00218	0.00227	0.00247	0.00141	0.00157
loki-0	23.6	27.1	27.5	366	401	426	0	0.0153	0.0207	0.109	0.00932	0.00990
tempo-0	3.10	3.14	3.16	160	160	160	0	0.0000957	0.000165	0.0000902	0.0000948	0.0000965
prometheus-kube-state-metrics-6c848bf576-pldq7	1.26	1.30	1.31	19.9	19.9	19.9	0	0	0	0.00193	0.000401	0.000410
alloy-4b22f	5.66	5.92	6.01	59.1	61.2	63.1	0	0.00200	0.00208	0.00254	0.00145	0.00161
loki-results-cache-0	2.14	2.18	2.19	25.9	26.2	26.2	0	0	0	0.000391	0.00681	0.00735
prometheus-server-5cb76b849-dcztt	0.808	0.826	0.831	35.1	35.4	35.4	0	0.000163	0.000491	0.000207	0.000216	0.000219
