"Pod","CPU Ø (m)","CPU P95 (m)","CPU Max (m)","Mem Ø (MiB)","Mem P95 (MiB)","Mem Max (MiB)","Disk Read Ø (MiB/s)","Disk Write Ø (MiB/s)","Disk Write Max (MiB/s)","Net RX Ø (MiB/s)","Net TX Ø (MiB/s)","Net TX Max (MiB/s)"
tempo-0,7.13,12.6,13.6,466,801,931,0,0.0142,0.0603,0.00330,0.00102,0.00168
loki-canary-wvhgm,1.90,2.28,2.33,13.0,13.2,13.3,0,0,0,0.00254,0.00264,0.00272
alloy-2ct9f,14.2,41.2,44.7,71.8,79.3,82.1,0.00184,0.00240,0.00286,0.0864,0.00568,0.0194
loki-results-cache-0,2.10,2.46,2.54,27.9,28.2,28.4,0,0,0,0.000447,0.00703,0.00771
prometheus-server-5cb76b849-qxnx9,1.15,1.32,1.34,150,151,152,0,0.000569,0.000640,0.00137,0.000237,0.000245
loki-0,27.6,38.0,39.6,388,423,439,0.000192,0.0395,0.0949,0.116,0.0107,0.0160
grafana-586f5d7949-5mstz,3.97,4.54,4.61,84.4,84.6,86.0,0.000145,0.000662,0.000748,0.000102,0.000135,0.000145
prometheus-kube-state-metrics-6c848bf576-txmvx,1.55,1.80,1.85,22.3,24.0,24.3,0.000795,0,0,0.00224,0.000400,0.000434
loki-canary-dzb69,1.78,2.13,2.18,13.1,13.5,13.7,0.000105,0,0,0.00253,0.00256,0.00270
loki-canary-n7cg9,1.83,2.24,2.32,30.3,30.5,30.8,0,0,0,0.00253,0.00261,0.00270
loki-chunks-cache-0,3.60,4.38,4.48,109,111,111,0,0,0,0.00141,0.111,0.215
alloy-qq9ts,18.6,63.2,68.3,157,163,164,0.0000844,0.00222,0.00248,0.0859,0.00675,0.0257
prometheus-prometheus-pushgateway-849f5c884c-9wjnd,0.165,0.296,0.317,7.03,7.47,7.73,0.000183,0,0,0.0000922,0.0000856,0.0000917
loki-gateway-655d5c6cd9-whjvm,4.10,5.14,5.23,12.7,12.7,12.9,0.00000813,0.0000533,0.000369,0.0218,0.0207,0.0317
alloy-4b22f,20.5,66.8,71.6,73.1,79.6,79.8,0,0.00244,0.00256,0.0861,0.00686,0.0259
