"Pod","CPU Ø (m)","CPU P95 (m)","CPU Max (m)","Mem Ø (MiB)","Mem P95 (MiB)","Mem Max (MiB)","Disk Read Ø (MiB/s)","Disk Write Ø (MiB/s)","Disk Write Max (MiB/s)","Net RX Ø (MiB/s)","Net TX Ø (MiB/s)","Net TX Max (MiB/s)"
prometheus-prometheus-pushgateway-849f5c884c-h2hlt,0.387,1.13,1.47,6.43,7.07,7.07,0.132,0,0,0.0000534,0.0000489,0.0000898
tempo-0,2.64,3.49,3.51,144,161,171,0.194,0.0000518,0.0000862,0.0000535,0.0000524,0.0000978
prometheus-kube-state-metrics-6c848bf576-txmvx,1.69,2.04,2.08,16.0,20.0,20.0,0,0,0,0.0122,0.000551,0.000653
prometheus-prometheus-pushgateway-849f5c884c-9wjnd,0.128,0.164,0.168,5.27,6.21,6.24,0,0,0,0.0000412,0.0000380,0.0000734
alloy-4b22f,7.53,11.8,13.6,60.7,66.7,66.8,0,0.00207,0.00233,0.00420,0.00187,0.00409
grafana-586f5d7949-5mstz,3.85,4.12,4.19,83.9,83.9,84.1,0,0.000670,0.000794,0.0000999,0.000137,0.000146
prometheus-kube-state-metrics-6c848bf576-pldq7,1.28,1.78,2.15,17.3,20.5,25.7,0.0939,0,0,0.00133,0.000223,0.000441
loki-canary-n7cg9,1.96,2.77,5.11,13.4,17.4,18.3,0.831,0,0,0.00141,0.00145,0.00266
alloy-qq9ts,12.1,22.2,28.7,83.8,97.0,97.0,6.17,0.00190,0.00284,0.00481,0.00203,0.00383
loki-results-cache-0,6.39,28.2,52.6,24.8,26.4,27.2,1.45,0,0,0.000372,0.00770,0.0141
loki-canary-dzb69,1.60,2.02,2.26,12.8,13.1,13.2,0,0,0,0.00248,0.00257,0.00265
alloy-2ct9f,6.83,10.4,12.1,61.0,67.5,67.6,0,0.00204,0.00285,0.00396,0.00177,0.00367
loki-canary-wvhgm,1.70,1.78,1.82,12.8,13.2,13.4,0,0,0,0.00248,0.00259,0.00272
prometheus-server-5cb76b849-dcztt,8.89,56.6,77.2,31.4,36.5,60.4,2.03,0.0000871,0.000244,0.000153,0.000153,0.000220
loki-chunks-cache-0,3.30,3.45,3.52,49.2,50.3,50.5,0,0,0,0.000709,0.0781,0.167
loki-0,22.3,29.4,29.8,378,412,463,0.00000340,0.0167,0.0276,0.0788,0.00809,0.0111
loki-gateway-655d5c6cd9-whjvm,3.15,4.33,4.38,12.6,12.7,12.7,0,0,0,0.0128,0.0129,0.0193
