"Pod","CPU Ø (m)","CPU P95 (m)","CPU Max (m)","Mem Ø (MiB)","Mem P95 (MiB)","Mem Max (MiB)","Disk Read Ø (MiB/s)","Disk Write Ø (MiB/s)","Disk Write Max (MiB/s)","Net RX Ø (MiB/s)","Net TX Ø (MiB/s)","Net TX Max (MiB/s)"
loki-canary-dzb69,1.51,1.54,1.56,12.8,13.2,13.3,0,0,0,0.00249,0.00259,0.00270
loki-gateway-655d5c6cd9-whjvm,4.07,4.15,4.21,12.6,12.7,12.9,0,0,0,0.0188,0.0190,0.0210
loki-canary-wvhgm,1.65,1.71,1.72,12.8,13.0,13.1,0,0,0,0.00248,0.00260,0.00268
prometheus-prometheus-pushgateway-849f5c884c-h2hlt,0.208,0.250,0.268,7.01,7.10,7.10,0.0000143,0,0,0.0000931,0.0000829,0.0000860
grafana-586f5d7949-5mstz,4.85,13.0,15.6,87.1,119,125,0,0.000828,0.00288,0.00164,0.000359,0.00296
alloy-qq9ts,9.02,9.78,10.0,96.8,97.2,97.2,0.00000115,0.00270,0.00312,0.00704,0.00320,0.00355
alloy-4b22f,11.0,12.0,12.2,66.7,66.9,67.1,0,0.00196,0.00203,0.00700,0.00332,0.00371
loki-chunks-cache-0,3.21,3.33,3.39,46.1,48.1,48.4,0,0,0,0.00101,0.107,0.196
loki-0,27.7,33.0,34.1,382,423,463,0,0.0241,0.0307,0.112,0.0107,0.0158
prometheus-server-5cb76b849-dcztt,0.943,1.57,2.15,38.7,51.3,69.6,0.000309,0.000310,0.00119,0.000292,0.000276,0.000938
loki-results-cache-0,2.31,2.39,2.42,25.8,26.3,26.6,0,0,0,0.000449,0.00722,0.00796
loki-canary-n7cg9,1.98,2.12,2.21,13.0,13.3,13.4,0.0000178,0,0,0.00244,0.00249,0.00258
tempo-0,3.64,4.19,4.23,160,161,161,0.000106,0.0000915,0.000153,0.000130,0.000106,0.000188
prometheus-kube-state-metrics-6c848bf576-pldq7,1.77,2.03,2.07,20.3,20.4,20.8,0.0000553,0,0,0.00200,0.000384,0.000438
alloy-2ct9f,9.96,10.8,11.0,67.0,67.2,67.3,0,0.00223,0.00245,0.00634,0.00308,0.00342
