"Pod","CPU Ø (m)","CPU P95 (m)","CPU Max (m)","Mem Ø (MiB)","Mem P95 (MiB)","Mem Max (MiB)","Disk Read Ø (MiB/s)","Disk Write Ø (MiB/s)","Disk Write Max (MiB/s)","Net RX Ø (MiB/s)","Net TX Ø (MiB/s)","Net TX Max (MiB/s)"
loki-gateway-655d5c6cd9-whjvm,4.11,4.20,4.22,12.7,12.7,12.9,0,0,0,0.0244,0.0231,0.0256
alloy-2ct9f,13.9,15.7,16.9,78.1,78.6,78.9,0,0.00200,0.00211,0.0162,0.00553,0.00691
alloy-4b22f,15.5,17.4,18.9,78.2,78.3,78.5,0,0.00242,0.00256,0.0164,0.00570,0.00715
prometheus-prometheus-pushgateway-849f5c884c-9wjnd,0.122,0.128,0.135,6.93,7.01,7.06,0,0,0,0.0000918,0.0000884,0.0000918
loki-results-cache-0,1.90,1.97,2.00,27.8,28.2,28.5,0,0,0,0.000398,0.00666,0.00737
prometheus-server-5cb76b849-qxnx9,1.09,1.14,1.15,150,152,152,0.00000787,0.000555,0.000699,0.00133,0.000232,0.000241
alloy-qq9ts,10.5,12.0,12.3,162,163,163,0.0000861,0.00273,0.00300,0.0163,0.00494,0.00622
loki-canary-n7cg9,1.67,1.72,1.73,30.4,30.7,31.1,0.00000343,0,0,0.00245,0.00251,0.00261
loki-chunks-cache-0,3.27,3.37,3.41,99.4,102,102,0,0,0,0.00203,0.119,0.228
loki-0,28.1,32.7,34.0,405,438,449,0,0.0495,0.0603,0.127,0.0114,0.0156
grafana-586f5d7949-5mstz,3.77,3.98,4.11,84.8,84.9,85.1,0,0.000664,0.000754,0.0000994,0.000137,0.000146
loki-canary-dzb69,1.49,1.54,1.55,12.9,13.2,13.4,0,0,0,0.00250,0.00258,0.00271
loki-canary-wvhgm,1.63,1.68,1.70,12.9,13.2,13.5,0,0,0,0.00247,0.00259,0.00271
prometheus-kube-state-metrics-6c848bf576-txmvx,1.33,1.37,1.38,21.2,21.8,22.1,0,0,0,0.00196,0.000398,0.000413
tempo-0,8.75,17.3,22.7,603,1278,1347,0.00000345,0.0369,0.207,0.00425,0.000847,0.00170
